iter	Passed	Remaining
0	6	2641
1	13	2635
2	17	2367
3	22	2215
4	28	2261
5	34	2234
6	39	2215
7	43	2139
8	49	2147
9	53	2097
10	58	2082
11	64	2086
12	239	7123
13	244	6740
14	244	6740
15	249	6396
16	254	6096
17	259	5836
18	434	9205
19	440	8800
20	445	8443
21	449	8096
22	454	7795
23	459	7509
24	464	7257
25	469	7019
26	643	9231
27	649	8951
28	655	8687
29	660	8425
30	664	8174
31	669	7945
32	674	7738
33	674	7738
34	679	7520
35	684	7324
36	684	7324
37	689	7128
38	693	6955
39	697	6789
40	702	6638
41	707	6492
42	711	6348
43	885	7691
44	890	7527
45	895	7371
46	900	7222
47	905	7083
48	909	6940
49	915	6818
50	921	6698
51	1094	7775
52	1100	7635
53	1105	7497
54	1110	7366
55	1114	7236
56	1120	7115
57	1126	7001
58	1130	6885
59	1134	6767
60	1138	6657
61	1144	6558
62	1144	6558
63	1149	6437
64	1154	6338
65	1161	6258
66	1335	7057
67	1341	6959
68	1345	6851
69	1351	6756
70	1356	6662
71	1362	6573
72	1367	6478
73	1370	6384
74	1544	7071
75	1549	6971
76	1553	6874
77	1557	6778
78	1562	6687
79	1568	6603
80	1572	6513
81	1577	6433
82	1583	6353
83	1588	6274
84	1594	6198
85	1599	6126
86	1774	6692
87	1774	6692
88	1780	6593
89	1785	6511
90	1789	6430
91	1963	6949
92	1967	6865
93	1973	6786
94	1978	6705
95	1983	6625
96	2158	7107
97	2163	7025
98	2169	6946
99	2173	6865
100	2178	6786
101	2183	6708
102	2188	6633
103	2193	6557
104	2200	6490
105	2377	6920
106	2377	6920
107	2554	7312
108	2559	7232
109	2566	7157
110	2571	7078
111	2575	6997
112	2579	6920
113	2585	6847
114	2589	6770
115	2595	6701
116	2600	6630
117	2604	6558
118	2779	6910
119	2784	6839
120	2789	6768
121	2795	6699
122	2801	6633
123	2806	6565
124	2810	6495
125	2815	6428
126	2989	6744
127	2994	6677
128	3000	6610
129	3005	6543
130	3005	6543
131	3010	6455
132	3016	6391
133	3020	6327
134	3025	6263
135	3030	6201
136	3036	6143
137	3041	6083
138	3047	6025
139	3047	6025
140	3221	6274
141	3226	6212
142	3231	6152
143	3231	6152
144	3405	6386
145	3410	6323
146	3417	6265
147	3422	6205
148	3597	6450
149	3602	6387
150	3606	6324
151	3613	6265
152	3617	6204
153	3791	6432
154	3797	6372
155	3802	6312
156	3807	6251
157	3811	6191
158	3818	6135
159	3823	6076
160	3828	6019
161	3833	5963
162	3839	5908
163	3843	5851
164	3848	5797
165	3852	5742
166	4026	5937
167	4031	5881
168	4035	5826
169	4040	5772
170	4046	5719
171	4052	5668
172	4226	5849
173	4231	5795
174	4404	5970
175	4410	5916
176	4415	5860
177	4421	5807
178	4427	5755
179	4432	5702
180	4606	5864
181	4612	5811
182	4618	5759
183	4623	5707
184	4627	5653
185	4801	5805
186	4806	5751
187	4812	5699
188	4812	5699
189	4818	5622
190	4823	5569
191	4828	5517
192	5003	5660
193	5010	5609
194	5017	5560
195	5024	5510
196	5030	5460
197	5037	5412
198	5043	5363
199	5048	5314
200	5054	5266
201	5061	5219
202	5066	5171
203	5071	5123
204	5076	5076
205	5082	5030
206	5086	4983
207	5092	4938
208	5097	4892
209	5102	4847
210	5107	4802
211	5112	4758
212	5117	4714
213	5122	4670
214	5127	4627
215	5132	4584
216	5137	4541
217	5141	4498
218	5146	4457
219	5152	4416
220	5157	4375
221	5162	4334
222	5167	4294
223	5342	4393
224	5349	4353
225	5353	4312
226	5353	4312
227	5359	4247
228	5364	4207
229	5368	4167
230	5542	4257
231	5546	4216
232	5550	4175
233	5557	4136
234	5561	4096
235	5566	4057
236	5571	4018
237	5571	4018
238	5576	3955
239	5581	3916
240	5586	3878
241	5591	3840
242	5595	3803
243	5600	3765
244	5605	3728
245	5609	3691
246	5613	3654
247	5618	3618
248	5623	3582
249	5627	3546
250	5633	3511
251	5638	3476
252	5641	3441
253	5647	3406
254	5820	3473
255	5826	3438
256	5832	3404
257	6006	3467
258	6011	3431
259	6016	3396
260	6021	3361
261	6025	3325
262	6029	3291
263	6036	3257
264	6040	3223
265	6045	3189
266	6220	3244
267	6224	3209
268	6229	3175
269	6235	3142
270	6239	3107
271	6244	3074
272	6249	3040
273	6253	3007
274	6259	2974
275	6265	2942
276	6269	2909
277	6274	2877
278	6274	2877
279	6279	2822
280	6283	2790
281	6288	2758
282	6292	2726
283	6298	2696
284	6304	2665
285	6310	2635
286	6316	2604
287	6319	2573
288	6325	2543
289	6332	2514
290	6338	2485
291	6343	2455
292	6347	2425
293	6521	2460
294	6525	2429
295	6530	2400
296	6536	2370
297	6540	2340
298	6545	2311
299	6550	2282
300	6554	2253
301	6560	2224
302	6564	2195
303	6569	2167
304	6574	2138
305	6580	2111
306	6754	2136
307	6759	2107
308	6763	2079
309	6768	2051
310	6773	2022
311	6778	1995
312	6785	1967
313	6790	1940
314	6794	1912
315	6800	1885
316	6805	1857
317	6809	1830
318	6814	1803
319	6819	1777
320	6825	1750
321	6830	1724
322	6834	1697
323	6840	1671
324	7016	1686
325	7022	1660
326	7196	1673
327	7202	1646
328	7207	1619
329	7212	1592
330	7217	1565
331	7221	1539
332	7221	1539
333	7225	1490
334	7230	1464
335	7235	1438
336	7240	1412
337	7245	1386
338	7245	1386
339	7249	1338
340	7254	1312
341	7429	1317
342	7436	1292
343	7436	1292
344	7442	1244
345	7616	1246
346	7622	1220
347	7626	1194
348	7631	1168
349	7636	1143
350	7641	1117
351	7645	1092
352	7650	1067
353	7654	1041
354	7660	1016
355	7665	991
356	7670	967
357	7674	942
358	7680	918
359	7686	893
360	7691	869
361	7696	845
362	7871	839
363	7877	814
364	7882	790
365	8055	782
366	8060	757
367	8065	733
368	8070	708
369	8075	684
370	8079	660
371	8079	660
372	8084	613
373	8088	589
374	8094	565
375	8098	541
376	8103	517
377	8109	494
378	8114	470
379	8120	447
380	8124	424
381	8128	400
382	8132	377
383	8137	354
384	8142	331
385	8145	309
386	8151	286
387	8156	263
388	8160	241
389	8165	218
390	8169	196
391	8174	174
392	8179	152
393	8183	130
394	8188	108
395	8363	88
396	8371	66
397	8385	44
398	8390	21
399	8398	0
